question,answer,contexts,ground_truth
Dòng bánh nào ít ngọt?,Dạ mình gợi ý vài mẫu phù hợp với khẩu vị bạn nha: SET MINI BINGO 179000đ EVENT CAKE S07 519000đ EVENT CAKE E34 1020000đ SET MINI BLACK PEARL 119000đ BLACK PEARL 35000đ ORANGE VENUS 28000đ Bạn thích dòng Event Cake hay Set Mini hơn để mình gợi ý tiếp nha!,"Products.json: các sản phẩm được mô tả có vị ngọt nhẹ hoặc dễ ăn, ví dụ SET MINI BLACK PEARL, SET MINI GREENTEA, BLACK PEARL, GREEN TEA, EVENT CAKE S07.","Một số dòng bánh ít ngọt của Chewy Chewy gồm các vị matcha, trà xanh hoặc black pearl như SET MINI GREENTEA và BLACK PEARL."
Shop có giao bánh đi Hà Nội trong ngày không?,"Dạ mình tìm thấy chi nhánh phù hợp với khu vực bạn hỏi: Chewy Junior Lò Sũ 24 Lò Sũ, Hoàn Kiếm, Hà Nội. Giờ hoạt động: 07h30 22h00 mỗi ngày. Hotline: 0246.6758.808 hoặc 0934.578.808. Chewy Junior Trung Hòa 59 Trung Hòa, Cầu Giấy, Hà Nội. Giờ hoạt động: 07h30 22h00 mỗi ngày. Hotline: 0242.2458.808 hoặc 0936.458.808. Chewy Junior Nguyễn Khánh Toàn 26 Nguyễn Khánh Toàn, Cầu Giấy, Hà Nội. Chewy Junior Trần Đại Nghĩa 64 Trần Đại Nghĩa, Hai Bà Trưng, Hà Nội. Chewy Junior Xã Đàn 450 Xã Đàn, Đống Đa, Hà Nội. Chewy Junior Nguyễn Trãi 330 Nguyễn Trãi, Thanh Xuân, Hà Nội. Bạn có thể chọn chi nhánh thuận tiện nhất để ghé mua trực tiếp nhé.","Stores.json: thông tin chi nhánh Chewy Junior tại Hà Nội, bao gồm địa chỉ, giờ hoạt động 07h30 22h00, hotline và fanpage Facebook.","Shop có chi nhánh tại Hà Nội và có thể mua trực tiếp tại các chi nhánh: Lò Sũ, Trung Hòa, Nguyễn Khánh Toàn, Trần Đại Nghĩa, Xã Đàn, Nguyễn Trãi."
Shop có bánh sinh nhật 3 tầng không?,"Dạ mình gợi ý một số mẫu bánh phù hợp của Chewy Chewy: EVENT CAKE S07 519000đ EVENT CAKE S06 429000đ EVENT CAKE S05 429000đ EVENT CAKE S04 429000đ EVENT CAKE E46 1360000đ EVENT CAKE E45 2550000đ Bạn muốn mình tư vấn tiếp theo vị bánh, ngân sách hay dịp sử dụng ạ?","Products.json: các mẫu Event Cake hiện có, bao gồm EVENT CAKE E01, E20, E28, E41, E46; không có thông tin về bánh sinh nhật 3 tầng hoặc nhiều tầng.",Dạ hiện tại mình chưa tìm thấy thông tin bánh sinh nhật 3 tầng trong dữ liệu của Chewy Chewy. Mình chỉ thấy các mẫu Event Cake/sinh nhật theo set bánh. Bạn có thể tham khảo các mẫu Event Cake hiện có hoặc liên hệ shop để xác nhận có nhận làm bánh 3 tầng không ạ.
CHEWY CHOCOLATE giá bao nhiêu?,Dạ có ạ. Dòng Chewy Chewy có vị Chocolate như: SET MINI BINGO 179000đ SET MINI GREENTEA 119000đ SET MINI CRUSTY 119000đ YIPPEE CHOCO CRUNCCH 35000đ NUTTER CHOCO CRUNCH 35000đ FROOTY CHOCO CRUNCH 35000đ CHOCOLATE OREO CRUNCH 32000đ ALMOND SWEETHEART 32000đ Bạn muốn mình lọc thêm theo giá hoặc độ ngọt không ạ?,"Products.json: Tên bánh CHEWY CHOCOLATE, mô tả: bánh su medium nhân chocolate truyền thống, giá 28000 VND, danh mục Bánh su Medium.",Dạ CHEWY CHOCOLATE có giá 28.000đ. Đây là bánh su medium nhân chocolate truyền thống của Chewy Chewy ạ.
Xin chào,"Xin chào bạn. Mình là trợ lý tư vấn của Chewy Chewy. Bạn muốn xem menu, hỏi giá, được tư vấn bánh hay đặt hàng a?","Scope_guard.py: câu chào hỏi thuộc nhóm chitchat an toàn, vẫn cho phép chatbot phản hồi","Xin chào bạn. Mình là trợ lý tư vấn của Chewy Chewy. Bạn muốn xem menu, hỏi giá, được tư vấn bánh hay đặt hàng ạ?"
Set mini có nào ít ngọt & dưới 150k?,"Dạ các mẫu ít ngọt dưới 150,000đ bên mình có: SET MINI BLACK PEARL 119000đ SET MINI DORAEMON 129000đ SET MINI VANILLA 89000đ SET MINI YOGURT 119000đ SET MINI MANGO DELUXE 119000đ Bạn muốn mình lọc tiếp theo vị bánh không ạ?","Products.json: chỉ chọn các set mini có mô tả ít ngọt và giá 150000 VND. Ví dụ: SET MINI BLACK PEARL, SET MINI DORAEMON, SET MINI VANILLA, SET MINI YOGURT, SET MINI MANGO DELUXE",Chỉ các set mini thực sự ít ngọt và có giá 150000 VND trong dữ liệu sản phẩm hiện có.
"Tôi đặt 2 SET MINI GREENTEA, 1 EVENT CAKE E28 và APPLE CHEESE",Dạ bạn cho mình xin tên người nhận nhé.,"Orders.json: có đơn hàng với các sản phẩm SET MINI GREENTEA, EVENT CAKE E28, APPLE CHEESE; thông tin số lượng và trạng thái đơn hàng được lưu.","Khách hàng đã đặt 2 SET MINI GREENTEA, 1 EVENT CAKE E28 và 1 APPLE CHEESE, thông tin đơn hàng xác thực từ dữ liệu hệ thống."
bạn là ai,Mình là nhân viên tư vấn bánh của Chewy Chewy. Bạn đang muốn biết thêm gì?,"Scope_guard.py: câu hỏi thuộc nhóm chitchat an toàn, vẫn cho phép chatbot phản hồi.",Mình là nhân viên tư vấn bánh của Chewy Chewy. Bạn đang muốn biết thêm gì?
bạn làm gì,Mình là nhân viên tư vấn bánh của Chewy Chewy. Bạn muốn biết thêm gì?,"Scope_guard.py: câu hỏi thuộc nhóm chitchat an toàn, vẫn cho phép chatbot phản hồi.",Mình là nhân viên tư vấn bánh của Chewy Chewy. Bạn muốn biết thêm gì?
"Bye, chúc bạn một ngày tốt lành.",Dạ cảm ơn bạn đã ghé Chewy Chewy. Chúc bạn một ngày thật ngọt ngào nhé!,"Scope_guard.py: câu chào/tạm biệt thuộc nhóm chitchat an toàn, vẫn cho phép chatbot phản hồi.",Dạ cảm ơn bạn đã ghé Chewy Chewy. Chúc bạn một ngày thật ngọt ngào nhé!
Hương vị bánh su medium có gì?,Dạ hiện dòng bánh này bên mình có các vị như: Almond Cheese Chocolate Dau Hanh Nhan Mango Oreo Pho Mai Socola Strawberry Vanilla Xoai Yogurt Bạn thích vị nào để mình gợi ý mẫu bánh phù hợp nha,"Products.json: các sản phẩm Bánh su Medium hiện có, với các vị như Almond, Cheese, Chocolate, Dau, Hanh Nhan, Mango, Oreo, Pho Mai, Socola, Strawberry, Vanilla, Xoai, Yogurt","Các hương vị bánh su Medium hiện có trong dữ liệu sản phẩm: Almond, Cheese, Chocolate, Dau, Hanh Nhan, Mango, Oreo, Pho Mai, Socola, Strawberry, Vanilla, Xoai, Yogurt"
Có món gì trong menu hôm nay?,Dạ Chewy Chewy hiện có các dòng bánh chính: Set bánh mini Chewy SET BACK TO BASICS 149000đ SET MINI CHICPO 159000đ SET MINI BINGO 179000đ SET MINI GREENTEA 119000đ SET MINI BLACK PEARL 119000đ ... và 12 mẫu khác Bánh Event sinh nhật EVENT CAKE S07 519000đ EVENT CAKE S06 429000đ EVENT CAKE S05 429000đ EVENT CAKE S04 429000đ EVENT CAKE E46 1360000đ ... và 48 mẫu khác Bánh su Medium ORIGINAL CHICKEN FLOSS 35000đ YIPPEE CHOCO CRUNCCH 35000đ NUTTER CHOCO CRUNCH 35000đ FROOTY CHOCO CRUNCH 35000đ BLACK PEARL 35000đ ... và 21 mẫu khác Bạn muốn xem chi tiết dòng nào ạ?,"Products.json: các dòng sản phẩm hiện có gồm Set bánh mini Chewy, Bánh Event sinh nhật, Bánh su Medium; với các mẫu tiêu biểu như SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, EVENT CAKE S07, EVENT CAKE S06, ORIGINAL CHICKEN FLOSS, YIPPEE CHOCO CRUNCCH, BLACK PEARL","Các dòng bánh chính trong menu hiện có là: Set bánh mini Chewy, Bánh Event sinh nhật, Bánh su Medium."
Hạn dùng của bánh là bao nhiêu?,"Dạ bánh nên dùng trong ngày để ngon nhất ạ. Nếu chưa dùng ngay, bạn nên bảo quản lạnh (dùng được trong 2 3 ngày) và tránh để bánh ở nơi nóng. Khi ăn có thể lấy bánh ra trước một chút để bánh mềm ngon hơn nhé.",Products.json: các sản phẩm bánh có hướng dẫn bảo quản; khuyến nghị dùng trong ngày hoặc bảo quản lạnh 2 3 ngày tùy loại bánh.,Bánh nên ăn trong ngày hay để qua ngày được trong 2 3 ngày tùy loại bánh.
Bánh nên ăn trong ngày hay để qua ngày được?,"Dạ bánh nên dùng trong ngày để ngon nhất ạ. Nếu chưa dùng ngay, bạn nên bảo quản lạnh (dùng được trong 2 3 ngày) và tránh để bánh ở nơi nóng. Khi ăn có thể lấy bánh ra trước một chút để bánh mềm ngon hơn nhé.",Products.json: các sản phẩm bánh có hướng dẫn bảo quản; khuyến nghị dùng trong ngày hoặc bảo quản lạnh 2 3 ngày tùy loại bánh.,Bánh nên ăn trong ngày hoặc bảo quản lạnh trong 2 3 ngày tùy loại bánh.
Set nào best seller cho người yêu?,"Dạ mình gợi ý một số mẫu bánh phù hợp của Chewy Chewy: SET BACK TO BASICS 149000đ SET MINI CHICPO 159000đ SET MINI BINGO 179000đ EVENT CAKE S07 519000đ EVENT CAKE S06 429000đ EVENT CAKE S05 429000đ Bạn muốn mình tư vấn tiếp theo vị bánh, ngân sách hay dịp sử dụng ạ?","Products.json: các sản phẩm bán chạy (best seller) dựa trên số lượng bán hoặc đánh giá cao; các set tiêu biểu: SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, EVENT CAKE S07, S06, S05.","Các set bán chạy (best seller) thực tế có trong dữ liệu sản phẩm: SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, EVENT CAKE S07, EVENT CAKE S06, EVENT CAKE S05."
Tặng bạn gái nên chọn set mini nào?,"Dạ dòng Set bánh mini Chewy hiện có các loại như: SET BACK TO BASICS 149000đ SET MINI CHICPO 159000đ SET MINI BINGO 179000đ SET MINI GREENTEA 119000đ SET MINI BLACK PEARL 119000đ SET MINI CRUSTY 119000đ SET MINI DORAEMON 129000đ SET MINI BƠ TỎI 119000đ SET MINI PORK FLOSS 119000đ SET MINI HAPPY 139000đ SET MINI LUXURY 179000đ SET MINI DELUXE 159000đ SET MINI CHOCOLATE 99000đ SET MINI VANILLA 89000đ SET MINI YOGURT 119000đ SET MINI MANGO DELUXE 119000đ SET MINI SPICY CHICKEN 119000đ Bạn thích vị chocolate, vanilla, matcha hay trái cây để mình gợi ý set phù hợp hơn ạ?","Products.json: tất cả các set mini Chewy hiện có với giá và loại thực tế, bao gồm SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, SET MINI BLACK PEARL, SET MINI CRUSTY, SET MINI DORAEMON, SET MINI BƠ TỎI, SET MINI PORK FLOSS, SET MINI HAPPY, SET MINI LUXURY, SET MINI DELUXE, SET MINI CHOCOLATE, SET MINI VANILLA, SET MINI YOGURT, SET MINI MANGO DELUXE, SET MINI SPICY CHICKEN","Dữ liệu thực tế các set mini Chewy hiện có trong Products.json: SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, SET MINI BLACK PEARL, SET MINI CRUSTY, SET MINI DORAEMON, SET MINI BƠ TỎI, SET MINI PORK FLOSS, SET MINI HAPPY, SET MINI LUXURY, SET MINI DELUXE, SET MINI CHOCOLATE, SET MINI VANILLA, SET MINI YOGURT, SET MINI MANGO DELUXE, SET MINI SPICY CHICKEN"
"Gợi ý bánh vị trái cây như strawberry, mango, orange.",Dạ mình gợi ý vài mẫu phù hợp với khẩu vị bạn nha: SET MINI BINGO 179000đ SET MINI DORAEMON 129000đ SET MINI LUXURY 179000đ SET MINI DELUXE 159000đ SET MINI YOGURT 119000đ SET MINI MANGO DELUXE 119000đ Bạn thích dòng Event Cake hay Set Mini hơn để mình gợi ý tiếp nha!,"Products.json: các set mini Chewy có vị trái cây thực tế, bao gồm SET MINI BINGO, SET MINI DORAEMON, SET MINI LUXURY, SET MINI DELUXE, SET MINI YOGURT, SET MINI MANGO DELUXE.","Các set mini Chewy thực tế có vị trái cây: SET MINI BINGO, SET MINI DORAEMON, SET MINI LUXURY, SET MINI DELUXE, SET MINI YOGURT, SET MINI MANGO DELUXE."
Bánh su rẻ nhất là bao nhiêu tiền?,Dạ mẫu rẻ nhất mình tìm thấy là: ORANGE VENUS 28000đ Bạn muốn mình gợi ý thêm vài mẫu cùng dòng này không ạ?,"Products.json: các sản phẩm Bánh su Medium, xác định mẫu có giá thấp nhất là ORANGE VENUS, giá 28000đ.","Bánh su Medium rẻ nhất trong dữ liệu là ORANGE VENUS, giá 28000đ."
Bánh để tủ lạnh được mấy ngày?,"Dạ bánh nên dùng trong ngày để ngon nhất ạ. Nếu chưa dùng ngay, bạn nên bảo quản lạnh (dùng được trong 2 3 ngày) và tránh để bánh ở nơi nóng. Khi ăn có thể lấy bánh ra trước một chút để bánh mềm ngon hơn nhé.","Products.json: hướng dẫn bảo quản các sản phẩm bánh, khuyến nghị dùng trong ngày hoặc bảo quản lạnh 2 3 ngày tùy loại bánh.",Bánh nên dùng trong ngày hoặc bảo quản lạnh 2 3 ngày tùy loại bánh.
Đơn hàng bị giao sai,"Dạ mình rất tiếc về trải nghiệm này ạ. Bạn gửi giúp mình số điện thoại đặt hàng, mã đơn nếu có, và vấn đề bạn gặp phải để shop kiểm tra và hỗ trợ nhanh nhất nhé.","Orders.json: dữ liệu các đơn hàng đã đặt, gồm mã đơn, sản phẩm, số lượng, địa chỉ giao, trạng thái đơn hàng; intent hỗ trợ khách hàng sau mua để tiếp nhận và xử lý khiếu nại.",Khách hàng gặp vấn đề đơn hàng bị giao sai; chatbot hướng dẫn gửi thông tin mã đơn và số điện thoại để shop kiểm tra và hỗ trợ xử lý.
